DATE,Lot Code,Film Manufacturer,PO,Machine,Master Roll 1,Master Roll 2,Weight,Tested By,Lane,Pressure1,Pressure2,Pressure3,Pressure4,Pressure5,Pressure6,PressureAverage,PressureMIN,PressureMAX
2026-02-18,20251207,Hong Kong,293563,,110,116,2.0 OZ,YAZMIN P,1,1451.0,1191,1279.0,,,,1307.0,1191,1451
2026-02-18,20251207,Hong Kong,293563,,110,116,2.0 OZ,YAZMIN P,2,1279.0,1332,1426.0,,,,1345.67,1279,1426
2026-02-18,20251207,Hong Kong,293563,,110,116,2.0 OZ,YAZMIN P,3,1139.0,1233,1264.0,,,,1212.0,1139,1264
2026-02-18,20251207,Hong Kong,293563,,110,116,2.0 OZ,YAZMIN P,4,1129.0,1235,1454.0,,,,1272.67,1129,1454
2026-02-18,20251207,Hong Kong,293563,,110,116,2.0 OZ,YAZMIN P,5,1463.0,1464,1416.0,1494,1429.0,1480.0,1457.67,1416,1494
2026-02-18,20251207,Hong Kong,293563,,110,116,2.0 OZ,YAZMIN P,6,,,,,,,,0,0
2026-02-18,20251207,Hong Kong,293563,,110,116,2.0 OZ,YAZMIN P,7,1251.0,1361,641.0,496,1439.0,1160.0,1058.0,496,1439
2026-02-18,20251207,Hong Kong,293563,,110,116,2.0 OZ,YAZMIN P,8,1260.0,1118,1424.0,,,,1267.33,1118,1424
2026-02-18,20251207,Hong Kong,293563,,115,114,2.0 OZ,YAZMIN P,11,,,,,,,,0,0
2026-02-18,20251207,Hong Kong,293563,,115,114,2.0 OZ,YAZMIN P,1,1106.0,1447,1101.0,,,,1218.0,1101,1447
2026-02-18,20251207,Hong Kong,293563,,111,108,2.0 OZ,YAZMIN P,1,677.0,1064,1251.0,,,,997.33,677,1251
2026-02-18,20251207,Hong Kong,293563,,117,113,2.0 OZ,YAZMIN P,1,1322.0,1113,1462.0,,,,1299.0,1113,1462
2026-02-18,20251207,Hong Kong,293563,,117,113,2.0 OZ,YAZMIN P,3,1224.0,1224,1408.0,,,,1285.33,1224,1408
2026-02-18,20251207,Hong Kong,293563,,117,113,2.0 OZ,YAZMIN P,4,1408.0,1144,1396.0,,,,1316.0,1144,1408
2026-02-18,20251207,Hong Kong,293563,,117,113,2.0 OZ,YAZMIN P,5,1380.0,977,1317.0,1438,1413.0,1469.0,1332.33,977,1469
2026-02-18,20251207,Hong Kong,293563,,117,113,2.0 OZ,YAZMIN P,6,,,,,,,,0,0
2026-02-18,20251207,Hong Kong,293563,,117,113,2.0 OZ,YAZMIN P,7,439.0,1147,1450.0,1362,1344.0,1460.0,1200.33,439,1460
2026-02-18,20251207,Hong Kong,293563,,117,113,2.0 OZ,YAZMIN P,8,779.0,1278,1446.0,,,,1167.67,779,1446
2026-02-18,20251207,Hong Kong,293563,,117,113,2.0 OZ,YAZMIN P,9,1434.0,1468,1286.0,,,,1396.0,1286,1468
2026-02-18,20251207,Hong Kong,293563,,117,113,2.0 OZ,YAZMIN P,10,1292.0,1382,1148.0,,,,1274.0,1148,1382
2026-02-18,20251207,Hong Kong,293563,,117,113,2.0 OZ,YAZMIN P,11,,,,,,,,0,0
2026-02-18,20251207,Hong Kong,293563,,117,113,2.0 OZ,YAZMIN P,12,1001.0,1164,1164.0,,,,1109.67,1001,1164
2026-02-18,20251207,Hong Kong,293563,,117,113,2.0 OZ,YAZMIN P,1,1061.0,1487,915.0,,,,1154.33,915,1487
2026-02-18,20251207,Hong Kong,293563,,117,113,2.0 OZ,YAZMIN P,2,1415.0,1493,1493.0,,,,1467.0,1415,1493
2026-02-18,20251207,Hong Kong,293563,,117,113,2.0 OZ,YAZMIN P,3,503.0,734,1493.0,,,,910.0,503,1493
2026-02-18,20251207,Hong Kong,293563,,117,113,2.0 OZ,YAZMIN P,4,1475.0,1417,1480.0,,,,1457.33,1417,1480
2026-02-18,20251207,Hong Kong,293563,,117,113,2.0 OZ,YAZMIN P,5,1313.0,1108,1108.0,1499,1495.0,1242.0,1294.17,1108,1499
2026-02-18,20251207,Hong Kong,293563,,117,113,2.0 OZ,YAZMIN P,6,,,,,,,,0,0
2026-02-18,20251207,Hong Kong,293563,,117,113,2.0 OZ,YAZMIN P,7,1293.0,1426,1468.0,1414,1234.0,1120.0,1325.83,1120,1468
2026-02-18,20251207,Hong Kong,293563,,117,113,2.0 OZ,YAZMIN P,8,1331.0,1331,1301.0,,,,1321.0,1301,1331
2026-02-18,20251207,Hong Kong,293563,,117,113,2.0 OZ,YAZMIN P,9,1481.0,1466,1442.0,,,,1463.0,1442,1481
2026-02-18,20251207,Hong Kong,293563,,117,113,2.0 OZ,YAZMIN P,10,1432.0,1435,1435.0,,,,1434.0,1432,1435
2026-02-18,20251207,Hong Kong,293563,,111,108,2.0 OZ,YAZMIN P,2,1010.0,1393,584.0,,,,995.67,584,1393
2026-02-18,20251207,Hong Kong,293563,,117,113,2.0 OZ,YAZMIN P,2,1227.0,1227,1433.0,,,,1295.67,1227,1433
2026-02-18,20251207,Hong Kong,293563,,117,113,2.0 OZ,YAZMIN P,11,,,,,,,,0,0
2026-02-18,20251207,Hong Kong,293563,,111,108,2.0 OZ,YAZMIN P,12,1380.0,1469,1475.0,,,,1441.33,1380,1475
2026-02-18,20251207,Hong Kong,293563,,111,108,2.0 OZ,YAZMIN P,1,1219.0,913,591.0,,,,907.67,591,1219
2026-02-18,20251207,Hong Kong,293563,,111,108,2.0 OZ,YAZMIN P,4,1380.0,1477,1234.0,,,,1363.67,1234,1477
2026-02-18,20251207,Hong Kong,293563,,111,108,2.0 OZ,YAZMIN P,5,978.0,978,1495.0,1432,1391.0,1500.0,1295.67,978,1500
2026-02-18,20251207,Hong Kong,293563,,111,108,2.0 OZ,YAZMIN P,6,,,,,,,,0,0
2026-02-18,20251207,Hong Kong,293563,,111,108,2.0 OZ,YAZMIN P,7,1146.0,1366,1468.0,1346,1346.0,1361.0,1338.83,1146,1468
2026-02-18,20251207,Hong Kong,293563,,111,108,2.0 OZ,YAZMIN P,8,1361.0,1207,1490.0,,,,1352.67,1207,1490
2026-02-18,20251207,Hong Kong,293563,,111,108,2.0 OZ,YAZMIN P,9,1353.0,1353,865.0,,,,1190.33,865,1353
2026-02-18,20251207,Hong Kong,293563,,111,108,2.0 OZ,YAZMIN P,10,586.0,1432,1445.0,,,,1154.33,586,1445
2026-02-18,20251207,Hong Kong,293563,,111,108,2.0 OZ,YAZMIN P,11,,,,,,,,0,0
2026-02-18,20251207,Hong Kong,293563,,111,108,2.0 OZ,YAZMIN P,12,1409.0,1174,1451.0,,,,1344.67,1174,1451
2026-02-18,20251207,Hong Kong,293563,,111,108,2.0 OZ,YAZMIN P,3,1358.0,1420,1420.0,,,,1399.33,1358,1420
2026-02-18,20251207,Hong Kong,293563,,111,108,2.0 OZ,YAZMIN P,2,1311.0,1390,1322.0,,,,1341.0,1311,1390
2026-02-18,20251207,Hong Kong,293563,,111,108,2.0 OZ,YAZMIN P,4,1410.0,1195,1218.0,,,,1274.33,1195,1410
2026-02-18,20251207,Hong Kong,293563,,111,108,2.0 OZ,YAZMIN P,5,1254.0,1221,1221.0,1221,1418.0,1466.0,1300.17,1221,1466
2026-02-18,20251207,Hong Kong,293563,,111,108,2.0 OZ,YAZMIN P,6,,,,,,,,0,0
2026-02-18,20251207,Hong Kong,293563,,111,108,2.0 OZ,YAZMIN P,7,1466.0,1403,203.0,1493,1362.0,1290.0,1202.83,203,1493
2026-02-18,20251207,Hong Kong,293563,,111,108,2.0 OZ,YAZMIN P,8,962.0,1120,1120.0,,,,1067.33,962,1120
2026-02-18,20251207,Hong Kong,293563,,111,108,2.0 OZ,YAZMIN P,9,1120.0,1120,1120.0,,,,1120.0,1120,1120
2026-02-18,20251207,Hong Kong,293563,,111,108,2.0 OZ,YAZMIN P,10,1490.0,1471,1463.0,,,,1474.67,1463,1490
2026-02-18,20251207,Hong Kong,293563,,111,108,2.0 OZ,YAZMIN P,11,,,,,,,,0,0
2026-02-18,20251207,Hong Kong,293563,,111,108,2.0 OZ,YAZMIN P,3,1454.0,1454,1384.0,,,,1430.67,1384,1454
2026-02-13,20251206,Hong Kong,293562,,242,,2.0 OZ,YAZMIN P,8,1228.0,1412,1216.0,,,,1285.33,1216,1412
2026-02-13,20251206,Hong Kong,293562,,242,,2.0 OZ,YAZMIN P,11,1334.0,1052,1097.0,,,,1161.0,1052,1334
2026-02-13,20251206,Hong Kong,293562,,242,,2.0 OZ,YAZMIN P,10,1112.0,1424,1311.0,,,,1282.33,1112,1424
